nohup: ignoring input
Recording WAVE 'data_temp/Audios/2025-08-20_20-01-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-02-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-03-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-04-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-05-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-06-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-07-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-08-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-09-06.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-10-06.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-11-06.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-12-06.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-13-06.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-14-06.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-15-06.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-16-06.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-17-06.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-18-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-19-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-20-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-21-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-22-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-23-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-24-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-25-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-26-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-27-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-28-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-29-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-30-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-31-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-32-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-33-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-34-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-35-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-36-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-37-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-38-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-39-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-40-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-41-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-42-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-43-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-44-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-45-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-46-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-47-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-48-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-49-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-50-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-51-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-52-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-53-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-54-10.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-55-10.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-56-10.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-57-10.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-58-10.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-59-10.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-00-10.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-01-10.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-02-10.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-03-10.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-04-10.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-05-10.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-06-11.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-07-11.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-08-11.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-09-11.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-10-11.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-11-11.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-12-11.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-13-11.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-14-11.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-15-11.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-16-11.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-17-11.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-18-12.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-19-12.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-20-12.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-21-12.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-22-12.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-23-12.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-24-12.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-25-12.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-26-12.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-27-12.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-28-12.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-29-12.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-30-12.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-31-12.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-32-13.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-33-13.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-34-13.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-35-13.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-36-13.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-37-13.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-38-13.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-39-13.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-40-13.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-41-13.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-42-13.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-43-13.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-44-13.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-45-13.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-46-13.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-47-13.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-48-13.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-49-14.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-50-14.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-51-14.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-52-14.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-53-14.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-54-14.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-55-14.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-56-14.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-57-14.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-58-14.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_21-59-14.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-00-14.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-01-14.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-02-14.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-03-14.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-04-14.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-05-14.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-06-15.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-07-15.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-08-15.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-09-15.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-10-15.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-11-15.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-12-15.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-13-15.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-14-15.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-15-15.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-16-15.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-17-15.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-18-15.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-19-15.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-20-15.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-21-15.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-22-16.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-23-16.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-24-16.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-25-16.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-26-16.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-27-16.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-28-16.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-29-16.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-30-16.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-31-16.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-32-16.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-33-16.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-34-16.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-35-16.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-36-16.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-37-16.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-38-16.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-39-17.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-40-17.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-41-17.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-42-17.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-43-17.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-44-17.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-45-17.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_22-46-17.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
